38.3962263282,34.6238719975,14.3905501231,35.1099158966,44.7518663251,34.4951890969
38.3170308475,34.5925408898,14.4054427557,35.1791199204,44.779350211,34.4340126895
38.2534047325,34.4206235828,14.3841580921,34.994317714,44.8063907441,34.2631234458
38.1752980573,34.4107824508,14.3494739702,34.8890156952,44.7758959668,34.2782948885
38.1258160218,34.3722522188,14.3619705459,34.9223097347,44.7723961679,34.2184050071
38.0585509103,34.0097031347,14.3392262197,34.7625138234,44.856148776,33.7939590359
38.1514144349,33.5466889313,14.2838606738,34.3215558298,44.9623813248,33.3255689605
38.4041373796,33.1233126213,14.2259329915,33.7249753487,45.036001237,32.9582819502
38.4487797654,33.1058987099,14.2384366511,33.6307687658,45.017391964,32.9634939601
38.401161725,33.2027837641,14.2722534879,33.7815794706,44.9894908854,33.0447452572
