38.3849363488,40.8064606834,13.606250553,44.1061969981,44.1477172482,40.0390407498
38.3611923939,40.7312465394,13.6030160209,44.0980711601,44.1631471487,39.9422480355
38.3429389321,40.5719016747,13.5904131535,44.0302755641,44.191457454,39.7547582475
38.3425859806,40.4486315801,13.5895268184,43.9982822383,44.2128762221,39.606817262
38.3586654496,40.2772225583,13.5800645623,43.9490007107,44.2433612727,39.4052081272
38.3688675806,40.1988355334,13.5777734575,43.9305619378,44.2552523852,39.3127763102
38.3512184212,40.1697955216,13.5697007509,43.9179177338,44.255500363,39.2767924946
38.3589009788,40.237247281,13.5687927722,44.0008712357,44.2456911645,39.3435172346
38.3450436226,40.3392687139,13.5751437708,44.0924179024,44.2365773781,39.4465801981
38.3434602828,40.3484910091,13.5826207832,44.181495433,44.2435697757,39.4351477524
